,nutrient00,nutrient01,nutrient02,nutrient03,nutrient04,nutrient05,nutrient06,nutrient08,nutrient09,nutrient10,nutrient11,nutrient12,nutrient13,nutrient14,nutrient15,nutrient16,nutrient18,nutrient20,nutrient21,nutrient22,nutrient23,nutrient24,yield
0,10.976945947604442,8.390882833132418,3.0594329748802487,12.269005597945386,11.641961184573002,9.366198969867156,15.831206331460166,5.735323003614624,10.273754494758638,9.48312638550076,16.42908176759735,18.40447086470272,13.073642471927664,1.280065447018659,0.5722149779559391,10.756368914962714,7.392293187961967,8.137768754275099,5.317296248839563,13.504224039149172,16.200666955892434,17.091611054469148,39.74236626996213
1,9.692377233778362,8.452189049290734,7.516173507950281,4.742408939863845,14.001220348192977,21.88758101807634,19.738035124327105,19.544504310630145,15.48090879156969,14.965855544987557,16.0797997342033,13.177192597761836,16.392337102431135,13.908982044033674,10.612939169059183,10.577984982539569,9.298556024610786,2.9636768453283207,7.708641232490773,10.210804098894728,14.92280964992317,4.251523351446961,40.2601228015032
5,21.03824685733456,7.493455944309996,14.830187720866682,12.018854353469605,10.998011740478294,16.038881025321928,6.551046111450563,9.164457837681317,17.85879341919697,11.058702759598248,16.53812300151627,15.41588512081112,12.06199271663288,7.381918401770839,23.21280057239418,2.593564342146598,8.45228199863642,11.159962710131936,16.935154971678053,10.130083754362891,18.38926592024886,9.818823752124752,38.63275729957527
6,5.616450633848034,8.734673059351227,15.66776533552402,6.766678950791021,7.752398597116285,17.393165829314434,15.922646736701845,15.840979429635905,7.68678372063119,13.96614257158376,17.911048543064645,7.735438137675853,13.178435114477349,7.03953804880881,4.5458250485168925,15.70722623904263,7.784961576758287,13.308860154611294,19.29326459710139,9.83982640811557,9.568057618496134,17.946443784083,39.666429231866495
9,12.867685041891786,9.05790883122502,20.32077926113802,18.74027691420114,14.92841808357654,10.077770987071258,26.971701217642966,21.296003049872,11.410985162546496,9.758934841644738,18.10622801844841,18.528649532015702,8.757102329152419,13.316003007781056,5.2931341533360285,8.513264389924661,8.535718906487476,14.54480520544802,12.592844303214743,15.613778326735057,21.37082599908515,8.17811483329624,43.2859760165765
12,18.771373592349484,8.713187691018737,14.451364531044437,9.727187174471798,8.222333225561488,1.1146141258618805,9.524031062894831,25.3974101358312,12.816557807829351,15.995061320491708,18.16240277349312,10.833287760371872,16.168687767500227,12.480317802840602,19.58606982105896,13.637771716837584,9.125794814547534,4.853853662338658,3.535784948095303,21.0027991946543,15.029613705523566,9.746277676848276,40.5339573498792
13,13.268971675034678,9.246229962236816,7.409192148398676,5.355943136278581,6.64016490920917,5.135476785423919,8.36207668554884,20.830928657481564,14.505003158496038,2.577262266585388,17.37696599502466,5.946870267590518,17.61594132967567,10.161540256165935,7.759635873250191,17.879485448435428,9.973319396352611,13.736010273950388,12.62803291482282,17.806789998023536,18.980230768777613,6.689245748801031,42.846849987361416
15,10.9327192611798,8.443676418015889,24.29324446041156,13.414088922834338,21.65652396468552,13.30602838225031,5.97013276428809,11.354929965874009,13.640656475075172,19.13349669375673,19.146646876171967,13.531364497669657,12.71088147290376,2.0186133118554235,17.565741345652505,20.30102077132731,9.595535402523208,12.618725595049916,3.619077557869236,15.49781787128585,16.197080930264832,14.078019335705791,42.34932749203903
16,2.5631848271666,8.852149463091711,2.514670206127347,5.611056306839175,13.06439878115529,14.327972457586354,9.99783406892942,16.623551939938203,12.007683517393929,15.418458411750688,17.700329268429087,13.677579255604988,7.937226364503314,6.087419452128916,15.205186157140911,2.4509465741911303,9.707904309361355,6.578589036480354,5.790867977559136,12.382506251227786,10.163682625712726,23.378373313687867,41.2072827658633
17,3.81403034684013,7.467535631914697,5.323575277425881,15.866948508674954,16.411229978023755,15.105010676918296,22.50093941250595,4.981777121743805,22.44340568958659,4.072547056334785,14.752480940799495,13.88783633092773,11.11246375071432,2.698415862695474,15.431341006667544,8.34195438907951,7.513708691497862,4.919595581700892,4.315407311100198,9.210422175503524,3.4462252526602324,5.505341097053238,36.5562644625275
19,2.318317934878465,8.509679163246773,12.61726839104592,16.737437247202447,17.923236064903627,0.5998188708788632,12.63651328426809,11.594817585595775,10.512565893406684,10.197245330699998,17.114294444020764,11.365209924600135,10.020266180730257,15.005358194758363,8.532807311035269,10.74440908912634,6.929747014021021,15.126932538576654,13.9513413234923,23.193422179770373,7.807081372938702,2.449470819101281,41.276195104081886
20,12.43982018118953,8.481168295654042,7.456363636344373,11.658885494634385,18.50318552826557,17.87895339574944,8.420968580335474,14.753295070751992,18.074798166540678,13.01083676383398,16.709795414791717,2.425300606195039,9.236390957252471,7.840061837870304,7.0860757260291685,3.2629451194710075,8.772239993973178,11.554514003219388,15.656613698764769,9.967242139570969,8.914177765899872,5.962663206845583,38.87075871588667
22,9.288521411509318,7.652867486466839,5.042783453690968,14.673615488394573,3.0155641283772177,5.52674844454052,10.200524332183798,15.072824583733302,8.459420870752535,6.142838435634502,14.37938198285478,13.844433816719237,4.919467107535432,10.76528766161879,9.179576791732028,7.599903230843432,8.64983748292692,11.0047788746682,7.812808680621925,23.71811787781808,17.76331385858859,1.6511834355688038,35.26615168338665
23,5.348894307132406,8.927202007772456,25.129174688956937,8.26165183000291,9.242208780379842,2.9398124934065617,20.81736120091059,20.191289837705703,11.208068524397536,8.908381201514738,16.705927912519964,5.85634871490293,3.977865650049436,12.683512772812588,13.262978031325124,3.5720758546445257,9.143020409922302,8.636795155425578,25.291079930009083,3.014777326570977,20.124953533367457,14.836258661833076,40.75641435344248
26,16.680424902278926,8.46482443885798,3.364212543596773,0.9557842879942662,13.193457287199069,15.186173817383382,11.4234432397446,10.729165579986942,15.535991011200805,8.923034053812852,17.902329738698878,7.55231983076513,21.638720218648096,18.509015773436158,8.663983252456378,11.327071221201924,8.531204495742008,8.575782986374037,5.248205520784477,13.736473492994584,13.765015819314158,6.771796830550687,41.128109464959
27,16.15846666632969,8.859063266652653,14.553549718097656,7.963978499828135,6.031879228174069,1.0319429218515437,26.937003331721773,19.45508182613924,14.907400495777525,11.160974351512284,16.41861816631319,17.173497036551538,10.287026346727508,12.738608089298678,4.115764357119642,10.681441649965452,8.551706879652208,13.14728251805774,12.8774784280186,10.599638789916746,10.092962244467678,6.997822569382622,38.96055325076476
30,15.172062104763436,9.257033601232427,17.643023970691914,11.29979393939552,10.3403465373259,17.23453936259734,12.375475649775185,20.159055766845803,15.68282050524506,3.085099277274216,16.420369801219366,10.242795200215852,11.191637813495634,10.424329498242868,1.4866530940384148,22.469202635399533,8.769027335177988,13.322351312169475,10.822401907472484,21.44843210643917,15.872493143266109,10.327574476848216,42.0161361757448
31,16.58769488824027,8.686505850127373,5.752915610207818,12.835594014557646,8.428916646748423,14.954548194482989,6.445344700151647,12.165662875130556,4.137885650718937,5.264783500296952,16.121935791130095,12.248601175124229,11.54186828836376,5.192855608746633,5.181284218555005,10.363038696957435,7.605166906220259,6.1119015659459945,8.481897118957846,11.752098406338977,10.876956217566889,7.700934075726784,40.01721852312198
34,0.8003471168082736,9.027157919489763,18.954552415879807,10.901105408075216,11.429601130817897,14.257192636969377,22.425889784306232,12.061383514393158,15.25546857263393,10.12398437230459,17.83836750690594,17.385280922285578,17.079994203661137,20.188915828893208,7.519708966144547,16.50830947575834,8.870662964411487,11.688430407905624,19.25785088197264,8.671415605679222,13.102598411367444,2.444633020066074,41.04876860425618
36,25.83202327897745,9.331915507071892,21.496963012631603,10.967860826403982,0.670671840247401,19.434247987957644,5.269941950583865,10.516756838406817,17.970673772930397,10.183854821752451,18.020115571640574,0.4042810208916094,1.2366302152923545,15.613429486317695,25.105286149373843,12.183648111030386,8.089099464055092,7.225974105623687,12.929733027703254,14.023460195663048,2.524357904555451,6.813941767680432,42.919071295629415
37,12.553240031471448,8.124389761026817,14.150015297289633,6.855562107635878,15.512250334169938,11.266971974705864,8.826229746268984,4.156126566646186,8.022625194812798,9.437714831618615,15.858200823846296,7.298901740634818,18.23140753117617,11.9609561386328,10.898488286469886,10.161170797524084,8.251638406263886,5.406522380881197,9.77512302739447,1.0150396224453129,19.448385962950056,15.536245687848275,38.96101688378925
39,6.580513828235075,8.13865473468319,21.33696646716414,18.55967576073781,11.977279396648647,8.185860812885453,16.016847173741183,16.7985939215186,6.209576023771807,15.236994214618877,16.656887934979235,20.72566062673232,13.809612130800469,6.352781378311232,14.476907856294227,11.188500542710434,8.627622104974508,12.142012205455927,0.6894080909227096,12.232348080981016,1.309253799672314,11.023624393910954,40.87826663681194
41,15.602174641639186,8.38595152545564,13.448675911918135,13.483955709548471,13.675691043581192,19.38593127868868,13.769107408849395,7.948668758581828,6.515580742510947,8.488953953703795,16.284540661786842,10.642601954935952,13.27677559997094,12.664321766055508,7.303064553214927,5.60388136919521,8.543109958098388,13.479104011146882,18.603398545697484,10.05288506135018,20.174968420797,11.817565416068756,39.3159415738668
42,7.344187722612433,8.29734709027669,12.751996947768326,17.33925405129873,10.835956912569047,12.160232352054036,9.11912215546485,5.785446905930941,6.576109258509341,3.226486215028653,15.92463969974208,21.483078390157782,5.252123763078815,15.62667055195734,8.907655457801962,12.41414766000231,8.602304950502637,27.416996021043207,10.234301842888836,15.189328936232592,13.311097035919936,13.017555344865915,38.516389961753696
44,9.140977351841077,7.682822529039988,17.85516044794968,9.441753827234912,14.633579536153704,12.13117380137096,10.639822877457268,8.780478241129138,10.131034967276738,20.49760435326695,14.208870098259624,5.523821890347879,16.25802864164082,4.062405331730936,5.690661738954965,9.681284508606051,7.967650401408358,9.22346902816619,7.639858273421221,10.008104798703878,4.062192642416971,17.63028470359508,36.03731652380586
