dts,mac,is_new
2023-12-30 11:48:48.476,5a:35:47:93:01:9d,True
2023-12-30 11:48:48.781,cd:5b:41:ad:64:2c,True
2023-12-30 11:49:41.933,56:71:bd:af:aa:d3,True
2023-12-30 11:49:42.019,a4:c1:38:32:3a:2d,True
2023-12-30 11:51:21.929,76:b9:52:ce:f0:1d,True
2023-12-30 11:52:56.929,4c:b5:92:a2:79:d9,True
2023-12-30 11:52:56.942,4a:9e:14:eb:25:4f,True
2023-12-30 11:52:57.071,4b:3b:cb:0a:fd:37,True
2023-12-30 11:53:53.251,49:5c:a7:a2:88:22,True
2023-12-30 11:54:10.086,2c:11:65:02:30:ef,True
2023-12-30 11:54:40.652,c5:2f:65:10:ed:c0,True
2023-12-30 11:54:40.663,6b:17:8d:cd:33:e0,True
2023-12-30 11:55:50.527,74:00:e9:b0:4e:de,True
2023-12-30 11:55:56.617,67:a2:86:f3:f6:da,True
2023-12-30 11:56:00.038,5e:3b:c0:f3:b9:11,True
2023-12-30 11:56:19.865,5c:cc:58:f8:99:6b,True
2023-12-30 11:56:20.162,fe:12:f1:4a:37:ea,True
2023-12-30 11:58:37.037,6d:8e:19:d3:68:1c,True
2023-12-30 11:59:57.352,cc:7f:80:44:dd:eb,True
2023-12-30 11:59:58.715,67:bc:86:f1:25:92,True
2023-12-30 12:00:56.886,7d:c4:2f:e6:6f:f8,True
2023-12-30 12:01:19.627,50:10:97:c5:2f:62,True
2023-12-30 12:01:20.139,4c:86:0e:cb:21:2c,True
2023-12-30 12:01:33.391,47:31:ec:e9:3b:47,True
2023-12-30 12:02:57.385,ed:51:dc:fa:1e:d1,True
2023-12-30 12:03:49.418,7a:c8:88:61:6a:ed,True
2023-12-30 12:03:50.251,eb:94:bf:c6:45:58,True
2023-12-30 12:03:50.550,5a:02:6e:7a:10:eb,True
2023-12-30 12:04:09.654,62:b3:1e:ab:4b:50,True
2023-12-30 12:04:50.535,70:d4:bc:f7:36:54,True
2023-12-30 12:08:48.114,42:9d:6b:57:61:72,True
2023-12-30 12:08:48.184,61:63:ba:1e:bf:c4,True
2023-12-30 12:09:06.148,70:35:4e:f7:3e:58,True
2023-12-30 12:10:12.705,e9:1f:a9:a3:05:09,True
2023-12-30 12:10:13.597,72:64:e8:e7:de:d5,True
2023-12-30 12:10:14.173,f2:39:d3:a4:01:83,True
2023-12-30 12:11:11.005,4c:61:00:a9:14:8d,True
2023-12-30 12:11:11.041,7c:79:41:c9:a8:77,True
2023-12-30 12:11:12.526,68:db:b5:db:c0:a4,True
2023-12-30 12:11:18.027,f6:3b:02:25:d0:55,True
2023-12-30 12:12:11.548,10:2c:6b:d7:01:bf,True
2023-12-30 12:12:12.441,6d:55:25:ed:f3:88,True
2023-12-30 12:12:14.543,c1:b3:e2:83:d7:b2,True
2023-12-30 12:12:45.323,4c:cb:45:f3:e5:e7,True
2023-12-30 12:12:45.913,98:04:ed:d6:4a:1e,True
2023-12-30 12:12:47.182,fa:d1:0b:e2:86:84,True
2023-12-30 12:13:16.873,d8:37:3b:01:c5:22,True
2023-12-30 12:13:16.907,ff:73:4d:f8:7f:6d,True
2023-12-30 12:13:17.170,50:77:2a:ab:70:ce,True
2023-12-30 12:14:30.994,c3:43:71:65:f6:e6,True
2023-12-30 12:14:55.730,6b:dc:4d:f9:8a:b2,True
2023-12-30 12:14:56.831,79:ac:de:2c:f2:08,True
2023-12-30 12:15:19.132,45:f1:11:0c:64:a2,True
2023-12-30 12:15:19.615,7b:e2:ce:14:aa:45,True
2023-12-30 12:15:20.777,45:f1:11:0c:64:a2,False
2023-12-30 12:15:24.727,68:72:58:2e:20:49,True
2023-12-30 12:15:24.824,76:99:75:c2:bf:83,True
2023-12-30 12:15:54.064,57:c7:5a:8e:51:a9,True
2023-12-30 12:16:39.430,5a:ff:ca:37:97:57,True
2023-12-30 12:16:39.644,45:f9:bd:9f:63:62,True
2023-12-30 12:16:40.034,ce:38:cc:a4:7a:9e,True
2023-12-30 12:16:49.753,76:9e:6e:e0:50:24,True
2023-12-30 12:17:07.761,67:18:bc:a3:41:f9,True
2023-12-30 12:17:52.786,4a:87:fd:dc:f7:2f,True
2023-12-30 12:18:30.165,72:d3:bd:40:91:6e,True
2023-12-30 12:18:56.530,53:a7:fe:9b:9b:e7,True
2023-12-30 12:21:01.598,49:35:14:ca:50:e9,True
2023-12-30 12:21:03.191,3c:68:16:2f:74:78,True
2023-12-30 12:22:41.366,7f:b5:87:74:37:28,True
2023-12-30 12:22:52.717,6f:f3:fb:c3:d9:12,True
2023-12-30 12:23:04.402,68:72:58:2e:20:49,True
2023-12-30 12:23:04.708,76:99:75:c2:bf:83,True
2023-12-30 12:23:37.141,64:70:12:98:f4:de,True
2023-12-30 12:23:37.623,5f:30:43:19:a3:28,True
2023-12-30 12:23:39.074,5f:bb:92:57:ce:91,True
2023-12-30 12:25:29.095,56:bc:7a:5b:82:51,True
2023-12-30 12:25:29.189,6e:fb:b9:27:33:2f,True
2023-12-30 12:25:29.390,78:46:d6:3f:89:0c,True
2023-12-30 12:25:59.952,4f:07:5a:51:75:ac,True
2023-12-30 12:25:59.958,49:81:9d:93:82:5d,True
2023-12-30 12:26:00.094,52:7e:d1:a9:c4:3e,True
2023-12-30 12:26:31.314,70:c8:d6:08:0f:37,True
2023-12-30 12:26:31.411,64:97:c2:50:8c:7f,True
2023-12-30 12:26:35.667,68:72:58:2e:20:49,True
2023-12-30 12:26:36.083,61:0b:e5:86:9f:0a,True
2023-12-30 12:28:14.605,e4:52:1e:28:55:74,True
2023-12-30 12:28:20.681,70:e3:f8:82:63:5d,True
2023-12-30 12:29:12.929,63:02:a3:70:8f:82,True
2023-12-30 12:29:29.192,7f:86:b2:48:39:97,True
2023-12-30 12:33:58.063,75:2e:be:bc:7d:71,True
2023-12-30 12:34:51.116,42:01:b7:60:2f:8f,True
2023-12-30 12:36:39.271,ce:dd:0e:bf:ac:27,True
2023-12-30 12:37:29.867,63:58:00:5c:bb:c6,True
2023-12-30 12:37:54.512,43:67:90:8c:b2:a2,True
2023-12-30 12:37:54.514,41:62:c0:a7:00:fe,True
2023-12-30 12:40:02.484,73:04:07:b1:00:a5,True
2023-12-30 12:40:10.867,c2:57:8d:bd:ca:7a,True
2023-12-30 12:40:36.435,6c:bc:6e:fa:bd:94,True
2023-12-30 12:40:36.607,4e:58:52:39:9a:01,True
2023-12-30 12:42:09.983,10:2c:6b:d7:01:bf,False
2023-12-30 12:42:13.080,63:c6:0c:3e:0f:9d,True
2023-12-30 12:43:16.154,4d:ea:d3:d6:35:3e,True
2023-12-30 12:44:15.985,4a:93:5a:0c:0a:73,True
2023-12-30 12:45:01.905,60:d1:d4:da:e4:9f,True
2023-12-30 12:45:39.495,45:4c:6f:d9:47:07,True
2023-12-30 12:46:23.433,4f:1c:1e:24:1d:c3,True
2023-12-30 12:46:41.341,4e:2b:3d:be:45:48,True
2023-12-30 12:46:41.580,4b:95:52:65:7d:49,True
2023-12-30 12:46:42.950,53:72:74:b0:60:d1,True
2023-12-30 12:46:45.032,78:dc:82:1a:80:d0,True
2023-12-30 12:47:46.227,63:d5:7b:74:89:c0,True
2023-12-30 12:48:30.750,79:4c:87:c6:df:03,True
